on;On

rotate;Rotate
if;If
speak;Speak
until;Until
while;While
interact;Interact
move;Move

easy;Easy
intermediate;Intermediate
hard;Hard

which_exit;So... which exit?

language;English

hint_1;You can connect two nodes together!
hint_2;You can drag nodes from the buttons on the right.
comment_1;Help the mouse can get the cheese!

about_game;'puzzleCode' teaches programming concepts through the use of puzzles.\n\nThe aim of the game is to get the mouse to to the cheese. You combine blocks together in order to form instructions for the mouse to follow.\n\nDesigned and built by\ngithub.com/appropriately/.
